"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1991 May 22 12:00:00 AM","ANTES INTERCEPTOR SUR","6.8",,,"90","409","290","119","2.5","29.2","5.3","39.6","22","17.6","8.8","4.22","24.2","29.5","88","24.3",,"0.66",,"0.37",,"1.28",,"0.068",,"0.622",,,,,,"2.05",,"0.013","0.082","3.5","0.098","0",,"<0.001",,"0.118",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+05",
"1991 Feb 21 12:00:00 AM","JUANCHITO","7.5",,,"140",,"282",,"1.5","64","3.7",,,,"12.2","2.7","27.6",,"98","13.67",,"0.26",,"7.1",,"2.15",,"0",,"0.055",,,,,,"1.5",,"0.006","0.14","21","0.175",,,"0",,"0",,"0",,"0",,,"9.40E+07","9.60E+06",
"1991 Feb 21 12:00:00 AM","PASO DEL COMERCIO","6.9",,,"85","491","346","145","1.2","36","3.6","59.8","29.9","29.9","9.9","5.9","25.3","30.9","98","18.51",,"0.34",,"6.79",,"2.53",,"0",,"0.076",,,,,,"1.82",,"0.01","0.12","21","0.237","0.027",,"0",,"0",,"0",,"0",,,"2.40E+07","2.40E+05",
"1991 Feb 21 12:00:00 AM","PUERTO ISAACS","7",,,"115","795","338","457","2","44","2.7","52.9","41.4","11.5","13.7","2.3","25.3","30.9","102.3","18.37",,"0.33",,"7.91",,"2.49",,"0",,"0.082",,,,,,"2.79",,"0.011","0.1","17","0.197","0.025",,"0",,"0",,"0",,"0",,,"2.40E+07","9.60E+05",
"1991 Feb 21 12:00:00 AM","PASO DE LA TORRE","6.9",,,"85","282","195","87","0.77","36","1.7","64.4","29.9","34.5","9.9","6.8","25.3","30.9","111.2","10.71",,"0.2",,"9.44",,"2.33",,"0",,"0.049",,,,,,"1.72",,"0.016","0.092","19","0.235","0.013",,"0",,"0",,"0",,"0",,,"2.40E+06","2.40E+05",
"1991 Feb 21 12:00:00 AM","VIJES","7",,,"64","235","155","80","0.86","24","0.6","47.5","22.8","24.7","9.1","5.9","25.3","30.9","115.7","6.39",,"0.16",,"9.25",,"2.55",,"0",,"0.043",,,,,,"2.15",,"0.017","0.06","18","0.236","0.028",,"0",,"0",,"0",,"0",,,"2.40E+05","2.40E+04",
"1991 Feb 21 12:00:00 AM","YOTOCO","6.9",,,"62","278","144","134","1.6","35.6","0.2","57","26.6","30.4","10.6","7.3","29.9","36.5","115.7","6.61",,"0.12",,"8.87",,"2.27",,"0",,"0.036",,,,,,"1.93",,"0.019","0.07","14","0.277","0.042",,"0",,"0",,"0",,"0",,,"2.40E+04","2.40E+04",
"1991 Feb 21 12:00:00 AM","MEDIACANOA","7",,,"80","317","177","140","2","38.9","1.2","47.5","32.3","15.2","12.9","3.6","25.3","30.9","115.7","7.36",,"0.16",,"7.84",,"2.26",,"0",,"0.053",,,,,,"2.36",,"0.024","0.12","20","0.062","0.02",,"0",,"0",,"0",,"0",,,"2.40E+07","2.40E+05",
"1991 May 29 12:00:00 AM","RIOFRIO","7",,,"80","371","199","172","3.1","15","2.1","63.8","41.8","22","16.7","5.28","52.9","64.5","177.3","16.5",,"0.75",,"12.8",,"3.03",,"0.056",,"0.699",,,,,,"3.22",,"0.017","0.08","5.76","0.199","0.004",,"<0.001",,"0.053",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+03",
"1991 Jan 03 12:00:00 AM","PUENTE GUAYABAL","7.6",,,"44","195","103","92","2.7","15.6","2.2","57","32.3","24.7","12.9","5.9","39.1","47.7","141.4","4.29",,"0.09",,"9.88",,"2.46",,"0",,"0.035",,,,,,"1.7",,"0.02","0.18","14","0.171","0.036",,"0",,"0",,"0",,"0",,,"2.40E+07","2.40E+06",
"1991 Jan 03 12:00:00 AM","LA VICTORIA","7.5",,,"70","283","202","81","4.9","15.6","2.5","66.5","39.9","26.6","16","6.4","46","56.1","160.3","5.53",,"0.13",,"11.27",,"2.94",,"0",,"0.023",,,,,,"2.1",,"0.017","0.22","15","0.282","0.098",,"0",,"0",,"0",,"0",,,"2.40E+09","2.40E+06",
"1991 Jan 03 12:00:00 AM","ANACARO","7.7",,,"75","449","235.7","213.3","2.3","22.9","2.6","66.5","38","28.5","15.2","6.8","41.4","50.5","160.3","5.32",,"0.09",,"10.61",,"2.6",,"0",,"0.038",,,,,,"1.5",,"0.013","0.24","13","0.27","0.03",,"0",,"0",,"0",,"0",,,"2.40E+06","2.40E+04",
"1991 Jan 03 12:00:00 AM","PUENTE LA VIRGINIA","7.1",,,"225","1233","706","527","3.9","56","3.5","81.7","47.5","34.2","19","8.2","48.3","58.9","174.8","5.12",,"0.65",,"11.43",,"4.4",,"0",,"0.121",,,,,,"2.8",,"0.012","0.31","16","0.624","0.066",,"0",,"0",,"0",,"0",,,"2.40E+05","2.40E+05",
"1998 Dec 19 12:00:00 AM","YOTOCO","7","23.6",,"4.1",,"235",,"3.9",,"1.6",,,,,,,,"96",,,,,,,,,,,,,,,,,,,,,"3.08",,,,,,,,,,,,,,,
"1991 Aug 28 12:00:00 AM","ANTES SUAREZ","6.9",,,"7","119","11.4","107.6","0.8","24","3.1","46","39.1","6.9","15.64","1.66","11.5","14","64","0.27",,"0.37",,"7",,"1.56",,"0.073",,"0.11",,,,,,"2.68",,"0.005","0.048","8.47","0.11","0.031",,"0.005",,"0.011",,"<0.005",,"0.47",,,"2.40E+04","2.40E+04",
"1991 May 22 12:00:00 AM","ANTES RIO OVEJAS","6.8",,,"50","114","38.9","75.1","1.6","9.7","5.5","35.2","15.4","19.8","6.16","4.75","15.4","18.8","82","3.57",,"0.89",,"7.76",,"1.48",,"<0.002",,"0.933",,,,,,"1.68",,"0.002","0.13","5.15","0.029","0",,"<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+02",
"1991 May 22 12:00:00 AM","ANTES RIO TIMBA","6.9",,,"43","129","55","74","0.3","7.6","6.4","30.8","15.4","15.4","6.16","3.7","15.4","18.8","72","0.16",,"0.42",,"6.96",,"0.94",,"<0.002",,"0.546",,,,,,"1.5",,"0.002","0.12","3.35","0.061","0.034",,"<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","9.50E+01",
"1991 May 22 12:00:00 AM","PASO DE LA BALSA","7",,,"73","166","93","73","1","6.5","6.5","37.4","19.8","17.6","7.92","4.22","19.8","24.1","76","9.39",,"0.7",,"6.87",,"1.64",,"<0.002",,"0.234",,,,,,"1.33",,"0.002","0.068","4.73","0.095","0",,"<0.001",,"0.02",,"<0.005",,"<0.01",,,"2.40E+04","2.30E+01",
"1991 May 22 12:00:00 AM","PASO DE LA BOLSA","6.8",,,"80","195","99","96","2","32.4","3.8","37.4","15.4","22","6.16","5.28","15.4","18.8","68","11.28",,"0.3",,"5.23",,"2.3",,"0.023",,"0.0674",,,,,,"1.54",,"0.002","0.11","4.94","0.208","0",,"<0.001",,"0.002",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+03",
"1991 May 22 12:00:00 AM","PUENTE HORMIGUERO","6.8",,,"200","422","304.3","118","0.9","31.3","5.5","39.6","15.4","24.2","6.16","5.81","19.8","24.1","78","1.66",,"0.42",,"6.6",,"1.69",,"0.034",,"0.111",,,,,,"1.6",,"0.007","0.178","5.15","0.055","0.029",,"<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+04",
"1991 Jul 22 12:00:00 AM","ANTES INTERCEPTOR SUR","7.1",,,"24","180","61","119","1.2","16.3","4.4","48.3","36.8","11.5","14.72","2.76","36.8","44.9","110.4","5.27",,"0.29",,"7.89",,"1.52",,"0.078",,"0.113",,,,,,"1.29",,"0.005","0.005","4.23","0.091","N.D",,,,,,,,,,,"2.40E+08","2.40E+08",
"1991 May 24 12:00:00 AM","JUANCHITO","7",,,"150",,"246",,"2.5","18.4","4.6",,,,"8.8","4.22","24.2",,"88.4","17.3",,"0.31",,"7.31",,"1.41",,"0.073",,"0.192",,,,,,"2.26",,"0.008","0.08","3.29","0.277",,,"<0.001",,"0.043",,"0.06",,"<0.01",,,"2.40E+07","2.40E+05",
"1991 May 24 12:00:00 AM","PASO DEL COMERCIO","7",,,"160","395","252","143","2.7","20.5","4.2","50.6","28.6","22","11.44","5.28","30.8","37.6","104.6","13.1",,"0.4",,"8.51",,"3.47",,"0.054",,"0.613",,,,,,"2.36",,"0.013","0.11","5.35","0.083","0.044",,"<0.001",,"0.043",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+06",
"1991 May 24 12:00:00 AM","PUERTO ISAACS","7",,,"180","427","266","161","3","20","3.8","44","24.2","19.8","9.68","4.75","28.6","34.9","99.9","19.03",,"0.38",,"7.67",,"3.16",,"0.085",,"0.168",,,,,,"2.05",,"0.012","0.061","5.97","0.169","0.032",,"<0.001",,"0.021",,"<0.005",,"<0.01",,,"2.40E+08","2.40E+07",
"1991 May 24 12:00:00 AM","PASO DE LA TORRE","7",,,"200","547","366","181","2.8","28","3.1","46.2","28.6","17.6","11.44","4.22","35.2","42.9","115","29.35",,"0.51",,"11.4",,"4.45",,"<0.002",,"0.317",,,,,,"2.05",,"0.018","0.086","5.35","0.354","0.032",,"<0.001",,"0.082",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+06",
"1991 May 24 12:00:00 AM","VIJES","7",,,"170","588","396","192","2.9","32","3.1","50.6","37.4","13.2","14.96","3.17","35.2","42.9","120.7","23.3",,"0.48",,"10",,"3.63",,"0.073",,"0.16",,,,,,"3.59",,"0.015","0.1","4.53","0.203","0.058",,"<0.001",,"0.092",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+05",
"1991 May 24 12:00:00 AM","YOTOCO","7",,,"230","727","428","298.7","2.3","44","2.5","52.8","30.8","22","12.32","5.28","33","40.3","120.7","28.05",,"0.44",,"10",,"3.21",,"0.075",,"0.261",,,,,,"2.85",,"0.027","0.166","4.73","0.221","0.02",,"<0.001",,"0.11",,"0.12",,"<0.01",,,"2.40E+05","2.40E+05",
"1991 May 24 12:00:00 AM","MEDIACANOA","6.8",,,"280","833","598.3","234.7","2.1","56","2.3","72.6","33","39.6","13.2","9.5","35.2","42.9","113.3","43.05",,"0.74",,"10.19",,"4.13",,"0.105",,"0.181",,,,,,"2.71",,"0.021","0.17","4.94","0.41","0.064",,"<0.001",,"0.205",,"0.31",,"<0.01",,,"1.40E+06","2.40E+05",
"1991 Aug 28 12:00:00 AM","RIOFRIO","7.2",,,"25","239","93.5","145.5","1.3","52","1.6","59.8","34.5","25.3","13.8","6.07","36.8","44.9","184","0.21",,"0.29",,"11.45",,"2.36",,"0.014",,"0.074",,,,,,"2.53",,"0.038","0.105","11.82","0.206","0.02",,"0.027",,"0.065",,"<0.005",,"0.22",,,"2.40E+05","2.40E+05",
"1991 May 29 12:00:00 AM","PUENTE GUAYABAL","7.1",,,"80","322","178","144","3","3.8","1.7","55","33","22","13.2","5.28","46","56.1","177.3","0.82",,"0.59",,"10.9",,"1.76",,"0.035",,"0.434",,,,,,"5.15",,"0.027","0.05","5.35","0.27","0.014",,"<0.001",,"0.038",,"0.04",,"<0.01",,,"2.40E+04","2.40E+03",
"1991 May 29 12:00:00 AM","LA VICTORIA","7",,,"140","526","359","167","3.2","169.2","1.8","66","44","22","17.6","5.28","55.2","67.3","161.4","24.1",,"0.71",,"12.4",,"4.19",,"<0.002",,"1.204",,,,,,"2.58",,"0.047","0.12","6.38","0.232","0.015",,"<0.001",,"0.115",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+06",
"1991 May 29 12:00:00 AM","ANACARO","7",,,"130","460","298","162","3.1","28.1","1.8","68.2","44","24.2","17.6","5.81","50.6","61.7","161.4","21.95",,"0.48",,"10.49",,"2.95",,"0.065",,"0.142",,,,,,"0",,"0.024","0.1","6.59","0.146","0",,"<0.001",,"0.093",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+03",
"1991 May 29 12:00:00 AM","PUENTE LA VIRGINIA","6.8",,,"130","482","320","162","3.2","21.6","2.7","66","35.2","30.8","14.1","7.39","55.2","67.3","170.2","29.15",,"1.2",,"12.1",,"4.8",,"0.078",,"0.399",,,,,,"3.86",,"0.03","0.14","5.56","0.156","0.004",,"<0.001",,"0.095",,"0.43",,"<0.01",,,"2.40E+06","2.40E+05",
"1991 Oct 24 12:00:00 AM","ANTES SUAREZ","6.7",,,"10","134","4.4","129.6","1.7","9.4","3.3","44","26.4","17.6","10.56","4.22","8.4","10.2",,"1.17",,"0.47",,"10",,"2.19",,"<0.002",,"0.062",,,,,,"0.55",,"0.004","0.064","8.25","0.039","0.019",,"<0.001",,"<0.003",,"<0.005",,"0.5",,,"2.40E+03","2.40E+03",
"1991 Aug 22 12:00:00 AM","ANTES RIO OVEJAS","6.5",,,"6","201","7.6","193.4","1.2","27.1","4.3","32.2","20.7","11.5","8.28","2.76","13.8","16.8","113.2","1.59",,"0.59",,"7.24",,"1.55",,"<0.002",,"0.024",,,,,,"1.24",,"0.004","0.076","6.47","0.08","0.05",,"0.003",,"0.014",,"<0.005",,"0.3",,,"2.40E+03","2.40E+03",
"1991 Aug 22 12:00:00 AM","ANTES RIO TIMBA","6.4",,,"9","105","13.2","91.8","0.7","17.7","6.3","34.5","18.4","16.1","7.36","3.86","11.5","14","99","1.13",,"0.37",,"8.14",,"1.86",,"0.095",,"0.092",,,,,,"1.46",,"0.006","0.083","6.02","0.1","0.023",,"0.03",,"0.074",,"<0.005",,"0.31",,,"2.40E+03","2.40E+03",
"1991 Aug 22 12:00:00 AM","PASO DE LA BALSA","6.6",,,"8","91","15.5","75.5","4.6","15.2","6.6","41.4","18.4","23","7.36","5.52","11.5","14","93.2","13.08",,"0.45",,"8.32",,"2.16",,"0.077",,"0.18",,,,,,"1.72",,"0.007","0.057","6.91","0.09","0.02",,"0.031",,"0.007",,"<0.005",,"0.69",,,"2.40E+04","2.40E+03",
"1991 Jul 22 12:00:00 AM","PASO DE LA BOLSA","7.1",,,"36","90","24.5","65.5","0.3","10.3","6","41.4","20.7","20.7","8.28","4.97","20.7","25.25","92","0.63",,"0.4",,"6.5",,"0.87",,"0.054",,"0.107",,,,,,"1.07",,"0.005","0.005","2.9","0.027","N.D",,"0.031",,"0.041",,"<0.005",,"0.49",,,"2.40E+06","9.50E+04",
"1991 Jul 22 12:00:00 AM","PUENTE HORMIGUERO","7.5",,,"32","127","57","70","4.8","15.4","6.1","41.4","18.4","23","7.36","5.52","29.9","36.48","101.2","5.97",,"0.32",,"7.19",,"1.34",,"0.078",,"0.13",,,,,,"1.2",,"0.003","0.003","3.12","0.076","0.001",,"0.047",,"0.047",,"<0.005",,"0.26",,,"2.40E+06","2.40E+05",
"1991 Jul 19 12:00:00 AM","JUANCHITO","6.6",,,"22",,"48",,"1.4","26.5","5.3",,,,"12.88","3.31","25.3",,"99.8","4.21",,"3.31",,"20.3",,"1.14",,"0.062",,"0.122",,,,,,"0.9",,"0.005","0.028","6.02","0.13",,,"0.081",,"0.161",,"0.207",,"0.34",,,"9.60E+07","2.40E+06",
"1991 Jul 19 12:00:00 AM","PASO DEL COMERCIO","6.9",,,"20","133","59","74","4.2","34.3","5","48.3","34.5","13.8","13.8","3.31","27.6","33.67","108.8","3.59",,"0.22",,"7.62",,"1.25",,"0.082",,"0.109",,,,,,"1.2",,"0.007","0.024","7.8","0.21","0.005",,"0.031",,"<0.003",,"0.013",,"0.35",,,"2.40E+08","2.40E+08",
"1991 Jul 19 12:00:00 AM","PUERTO ISAACS","7.2",,,"23","144","69","75","5.07","26.7","3.7","50.6","32.2","18.4","12.88","4.42","32.2","39.28","108.8","4.72",,"0.36",,"9.94",,"1.78",,"<0.002",,"0.108",,,,,,"2.06",,"0.011","0.037","9.36","0.321","0.022",,"0.03",,"0.011",,"<0.005",,"0.47",,,"2.40E+08","2.40E+07",
"1991 Jul 19 12:00:00 AM","PASO DE LA TORRE","6.9",,,"22","189","39","150","3.8","26","1.3","55.2","39.1","16.1","15.64","3.86","34.5","42.09","127","2.96",,"0.26",,"11.17",,"1.95",,"0.017",,"0.109",,,,,,"1.5",,"0.013","0.034","11.37","0.184","0.006",,"0.018",,"0.008",,"<0.005",,"0.42",,,"2.40E+10","2.40E+08",
"1991 Jul 19 12:00:00 AM","VIJES","7.2",,,"24","192","64","128","3.6","44.5","1.6","57.5","36.8","20.7","14.72","4.97","36.8","44.9","127","4.02",,"0.25",,"11.05",,"1.63",,"0.07",,"0.099",,,,,,"1.72",,"0.015","0.071","10.48","0.265","0.019",,"0.014",,"<0.003",,"<0.005",,"0.06",,,"2.40E+05","2.40E+05",
"1991 Jul 19 12:00:00 AM","YOTOCO","7",,,"22","186","48.5","137.5","2","22.3","1.2","64.4","34.5","29.9","13.8","7.18","34.5","42.09","145.1","3.69",,"0.27",,"10.25",,"1.52",,"0.036",,"0.114",,,,,,"2.06",,"0.017","0.077","10.03","0.173","0.029",,"0.022",,"<0.003",,"<0.005",,"0.58",,,"2.40E+08","2.40E+07",
"1991 Jul 19 12:00:00 AM","MEDIACANOA","7",,,"23","268","104","164","3.1","38.5","1.5","69","48.3","20.7","19.32","4.97","34.5","42.09","136","6.86",,"0.33",,"10.67",,"1.53",,"0.068",,"0.098",,,,,,"1.85",,"0.018","0.074","11.59","0.295","0.028",,"0.027",,"0.042",,"<0.005",,"0.53",,,"2.40E+08","2.40E+08",
"1991 Aug 22 12:00:00 AM","PUENTE GUAYABAL","7.1",,,"20","214","100","114","1.6","100","2.6","64.4","39.1","25.3","15.64","6.07","41.4","50.5","*","6.68",,"0.41",,"10.1",,"2.28",,"0.01",,"0.047",,,,,,"2.36",,"0.026","0.295","44.38","0.19","0.05",,"0.028",,"0.116",,"0.005",,"0.16",,,"2.40E+05","2.40E+05",
"1991 Aug 22 12:00:00 AM","LA VICTORIA","7.1",,,"36","189","83","106","2.2","80","2.8","71.3","46","25.3","18.4","6.07","43.7","53.3","186.6","1.2",,"0.34",,"7.9",,"2.12",,"<0.002",,"0.022",,,,,,"2.36",,"0.025","0.251","9.81","0.29","0.04",,"0.026",,"0.115",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+05",
"1991 Aug 22 12:00:00 AM","ANACARO","7.1",,,"20","309","91","218","2.1","92","3","69","41.4","27.6","16.56","6.62","39.1","47.7","186.9","1.05",,"0.34",,"9.8",,"2.09",,"<0.002",,"0.029",,,,,,"2.4",,"0.021","0.225","10.93","0.26","0.05",,"0.02",,"0.146",,"<0.005",,"0.16",,,"2.40E+05","2.40E+05",
"1991 Aug 22 12:00:00 AM","PUENTE LA VIRGINIA","7.1",,,"25","180","66","114","2.8","44","3.5","75.9","39.1","36.8","15.64","8.83","43.7","53.3","195.8","0.87",,"0.3",,"9.9",,"2.23",,"<0.002",,"0.053",,,,,,"2.53",,"0.021","0.324","9.81","0.22","0.02",,"0.031",,"0.141",,"<0.005",,"0.33",,,"2.40E+06","2.40E+04",
"1991 Oct 24 12:00:00 AM","ANTES RIO OVEJAS","6.5",,,"10","147","6","141","4.1","11.4","4","44","28.6","15.4","11.44","3.7","10.5","12.8",,"1.59",,"0.28",,"7.88",,"1.91",,"<0.002",,"0.074",,,,,,"0.59",,"0.004","0.086","7.41","0.032","0.016",,"<0.001",,"<0.003",,"<0.005",,"0.63",,,"9.40E+05","2.40E+03",
"1991 Oct 24 12:00:00 AM","ANTES RIO TIMBA","6.8",,,"8","129","6.5","122.5","1","9.4","7.2","50.6","24.2","26.4","9.7","6.34","12.6","15.4",,"0.69",,"0.34",,"7.71",,"1.65",,"<0.002",,"0.03",,,,,,"0.59",,"0.004","0.118","8.68","0.039","0.021",,"<0.001",,"<0.003",,"<0.005",,"0.43",,,"2.40E+04","2.40E+04",
"1991 Oct 24 12:00:00 AM","PASO DE LA BALSA","7.1",,,"14","128","18.3","109.7","1.3","4.2","7","72.6","44","28.6","17.6","6.86","14.7","17.9",,"1.06",,"0.15",,"7.9",,"1.68",,"<0.002",,"0.038",,,,,,"0.74",,"0.004","0.118","8.15","0.032","0.017",,"<0.001",,"<0.003",,"<0.005",,"0.42",,,"2.40E+06","2.40E+05",
"1991 Aug 22 12:00:00 AM","PASO DE LA BOLSA","6.3",,,"30","171","50","121","2.2","40","6.1","50.6","23","27.6","9.2","6.62","20.7","25.2","113.2","3.41",,"0.3",,"6.17",,"1.77",,"0.085",,"0.083",,,,,,"1.46",,"0.007","0.172","8.7","0.065","0.02",,"0.027",,"0.109",,"<0.005",,"0.23",,,"2.40E+06","2.40E+05",
"1991 Aug 22 12:00:00 AM","PUENTE HORMIGUERO","6.4",,,"34","204","63.5","140.5","3.5","40","6.2","34.5","23","11.5","9.2","2.76","13.8","16.8","108.4","3.02",,"0.15",,"8.03",,"1.88",,"0.056",,"0.089",,,,,,"1.89",,"0.008","0.139","7.81","0.092","0.04",,"0.027",,"0.164",,"<0.005",,"0.38",,,"2.40E+06","2.40E+05",
"1991 Jul 20 12:00:00 AM","JUANCHITO","7",,,"25",,"54.5",,"3.3","12.8","5.4",,,,"15.64","5.52","23",,"113.3","2.19",,"0.18",,"8.11",,"1.1",,"0.082",,"0.088",,,,,,"1.12",,"0.005","0.06","7.13","0.047",,,"0.082",,"0.13",,"0.204",,"0.48",,,"2.40E+06","2.40E+04",
"1991 Oct 24 12:00:00 AM","PASO DEL COMERCIO","6.9",,,"26","208","27.5","180.5","3.2","42.6","3.5","112.2","83.6","28.6","33.44","6.86","31.5","38.4",,"1.71",,"2.56",,"12.2",,"2.38",,"<0.002",,"0.083",,,,,,"1.43",,"0.007","0.146","8.04","0.144","0.039",,"<0.001",,"<0.003",,"<0.005",,"0.45",,,"2.40E+12","2.40E+11",
"1991 Jul 20 12:00:00 AM","PUERTO ISAACS","7.1",,,"22","156","45.5","110.5","2.7","18.8","3.5","64.4","41.4","23","16.56","5.52","34.5","42.09","145.9","1.77",,"0.16",,"13.3",,"1.64",,"0.078",,"0.09",,,,,,"1.16",,"0.015","0.4","12.48","0.183","0.015",,"0.036",,"0.017",,"0.025",,"0.35",,,"2.40E+08","2.40E+08",
"1991 Jul 20 12:00:00 AM","PASO DE LA TORRE","7.1",,,"25","167","52.5","114.5","3.72","16.3","0","52.9","32.2","20.7","12.88","4.97","29.9","36.48","128.6","0.23",,"0.2",,"10.07",,"1.67",,"0.023",,"0.075",,,,,,"1.5",,"0.013","0.06","10.48","0.171","0.019",,"0.026",,"0.043",,"<0.005",,"0.4",,,"2.40E+07","2.40E+04",
"1991 Jul 20 12:00:00 AM","VIJES","7.1",,,"23","184","65","119","2.8","12.8","1.7","57.5","39.1","18.4","15.64","4.42","36.8","44.9","144","4.68",,"0.36",,"12.2",,"1.84",,"0.069",,"0.109",,,,,,"1.29",,"0.016","0.08","11.15","0.146","0.017",,"0.038",,"0.043",,"0.014",,"0.49",,,"2.40E+06","2.40E+05",
"1991 Jul 20 12:00:00 AM","YOTOCO","7",,,"23","253","84.5","168.5","2.65","23.1","1.5","57.5","41.4","16.1","16.56","3.86","39.1","47.7","148.8","5.45",,"0.33",,"11.67",,"1.71",,"0.061",,"0.107",,,,,,"1.37",,"0.019","0.04","11.37","0.169","0.019",,"0.032",,"0.074",,"<0.005",,"0.77",,,"2.40E+05","2.40E+05",
"1991 Jul 20 12:00:00 AM","MEDIACANOA","7.1",,,"28","242","78.5","163.5","2","18.8","2.5","55.2","36.8","18.4","14.72","4.42","34.5","42.09","144","6.46",,"0.36",,"14.9",,"2.04",,"0.058",,"0.098",,,,,,"1.29",,"0.02","0.14","11.59","0.17","0.018",,"0.03",,"0.067",,"<0.005",,"0.65",,,,,
"1991 Oct 24 12:00:00 AM","PASO DE LA BOLSA","7",,,"14","134","16.8","117.2","3.2","11.4","6.5","52.8","24.2","28.6","9.7","6.86","12.6","15.4",,"1.58",,"0.04",,"7.77",,"1.76",,"<0.002",,"0.073",,,,,,"0.98",,"0.007","0.067","7.83","0.051","0.02",,"<0.001",,"<0.003",,"<0.005",,"0.51",,,"2.40E+05","2.40E+05",
"1991 Oct 24 12:00:00 AM","PUENTE HORMIGUERO","7.3",,,"18","210","66","144","3.3","11.4","5.7","66","37.4","28.6","15","6.86","25.2","30.7",,"3.16",,"0.05",,"8.32",,"1.83",,"<0.002",,"0.112",,,,,,"1.02",,"0.005","0.146","7.51","0.067","0.019",,"<0.001",,"<0.003",,"<0.005",,"0.53",,,"2.40E+08","2.40E+06",
"1991 Jul 22 12:00:00 AM","JUANCHITO","7",,,"25",,"62",,"2.3","13.7","3.7",,,,"12.88","5.52","41.4",,"124.2","4.51",,"0.46",,"9.5",,"1.29",,"0.051",,"0.113",,,,,,"1.07",,"0.007","0.062","3.57","0.111",,,"0.083",,"0.164",,"<0.005",,"0.49",,,"2.40E+07","2.40E+06",
"1991 Oct 25 12:00:00 AM","PASO DEL COMERCIO","6.7",,,"15","177","39.3","137.7","7.4","29.1","3.5","77","41.8","35.2","16.72","8.45","31.5","38.4",,"1.38",,"<0.002",,"8.6",,"2.21",,"<0.002",,"0.047",,,,,,"2.04",,"0.077","0.11","12.7","0.173","0.03",,"<0.001",,"<0.003",,"0.005",,"0.32",,,"2.40E+11","9.60E+09",
"1991 Jul 22 12:00:00 AM","PUERTO ISAACS","6.8",,,"24","239","78","161","14.5","45.8","0","69","39.1","29.9","15.64","7.18","59.8","72.96","165.6","5.13",,"0.59",,"13.1",,"2.22",,"0.049",,"0.125",,,,,,"1.29",,"0.003","0.003","6.91","0.281","N.D.",,"0.025",,"0.037",,"<0.005",,"0.8",,,"2.40E+09","2.40E+09",
